PubmedID,Title,Publication Date,Authors
40119867,Evaluation of a multifunctional orthodontic adhesive incorporating zinc oxide quantum dots.,2025,"['Yan', 'Zhu', 'Luo', 'Liao', 'Chen', 'Hua', 'He']"
40119836,Filter-Assisted ICP-MS Tumor Liquid Biopsy Enabled by Dual-Target-Regulated Functional DNA Nanospheres Cascade Amplification.,2025,"['Wu', 'Wang', 'Yan', 'Huang', 'Chang', 'Chen']"
40119834,Nano-Topography Enhanced Topological-Cell-Analysis in Radiation-Therapy.,2025,"['Pagliari', 'Spadea', 'Montay-Gruel', 'Puspitasari-Kokko', 'Seco', 'Tirinato', 'Accardo', 'De Angelis', 'Gentile']"
40119810,Macrophage-Mediated Delivery of miR-34a-5p-Nanoparticles for Pathogenic Inhibition of Kaposi's Sarcoma-Associated Herpesvirus.,2025,"['Yao', 'Zhang', 'Gao', 'Li', 'Zhang', 'Zhang', 'Gu', 'Tan', 'Li', 'Cao', 'Pan']"
40119786,A Glutathione-Responsive System with Prodrug and Sensitization Strategies for Targeted Therapy of Glioma.,2025,"['Zhang', 'Wang', 'Qi', 'Qian', 'Gao', 'Cheng', 'Wang']"
40119776,Mini Review: Spatial Transcriptomics to Decode the Central Nervous System.,2025,"['Pesti', 'Langa', 'Kumpesa', 'Valdeolivas', 'Sultan', 'Rottenberg', 'Hahn']"
40119775,Evaluation of Cellular Immune Responses After mRNA-1273 Vaccination in Children 6 Months to 11 Years of Age.,2025,"['Rostad', 'Campbell', 'Paulsen', 'Schnyder Ghamloush', 'Xu', 'Zheng', 'McElrath', 'De Rosa', 'Girard', 'Das', 'Anderson', 'Creech']"
40119760,Differences in Observed Outcomes and Toxicities for Adolescent and Young Adult Patients With Aggressive Mature B-Cell Lymphomas Treated at an Adult Versus Pediatric Cancer Center.,2025,"['LeHanka', 'Kebede', 'Amirmokhtari', 'Stanek', 'Willen', 'Yeager', 'Christian', 'Epperla', 'Sawalha', 'Sigmund', 'Brammer', 'Voorhees', 'Reneau', 'Baiocchi', 'Maddocks', 'Cairo', 'Audino', 'Bond']"
40119759,Synthesis of Differentially Halogenated Lissoclimide Analogues To Probe Ribosome E-Site Binding.,2025,"['Terrosu', 'Nurullina', 'Supantanapong', 'Pak', 'Nguyen', 'Holm', 'Wu', 'Lin', 'Horne', 'Sachs', 'Blanchard', 'Yusupov', 'Vanderwal']"
40119746,Amino Acid Stress Response Genes Contribute to a 25-Fold Increased Risk of L-Asparaginase-Induced Hypersensitivity.,2025,"['Anderson', 'Scott', 'Raack', 'Chang', 'Córdova-Delgado', 'Trueman', 'Loucks', 'Rassekh', 'Ross', 'Carleton', '']"
